AMO Normalized to period: 1856-2023 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1856   0.0284  -0.0430   0.0178  -0.0691  -0.0363  -0.0298  -0.0260  -0.0499   0.0151  -0.1102  -0.0607   0.0205
1857   0.0264  -0.2510  -0.2772  -0.2011  -0.2603  -0.1438  -0.1220  -0.2569  -0.2379  -0.3662  -0.3607  -0.4885
1858  -0.4056  -0.5030  -0.2702   0.0059  -0.1363  -0.2808  -0.4120  -0.3229  -0.1839  -0.0812   0.0843  -0.0805
1859  -0.3156  -0.3070  -0.1372  -0.0541  -0.1363  -0.3398  -0.4300  -0.1869  -0.1719  -0.0992  -0.1287  -0.1185
1860  -0.0646  -0.2970  -0.1342  -0.2701  -0.0513   0.0672  -0.0170  -0.2079  -0.2539  -0.1152  -0.1927  -0.0565
1861  -0.1766  -0.2910  -0.1992   0.0489  -0.0233   0.0582   0.1700   0.0571   0.0131  -0.0082   0.0333  -0.0805
1862  -0.2026  -0.3430  -0.2632  -0.3221  -0.3973  -0.2758  -0.5350  -0.5099  -0.5009  -0.4852  -0.5327  -0.5515
1863  -0.3196  -0.2210  -0.1602  -0.1441  -0.1903  -0.2708  -0.5330  -0.5399  -0.3999  -0.4512  -0.3567  -0.3075
1864  -0.3756  -0.5300  -0.3662  -0.2271  -0.1383  -0.1118   0.0240   0.1101  -0.0449  -0.0892   0.0113  -0.0005
1865   0.0204   0.0760  -0.0212  -0.1311  -0.1823  -0.0278  -0.1160  -0.1969   0.0441   0.0358   0.0393   0.0265
1866  -0.1196   0.0030   0.0278  -0.0601  -0.0363   0.1242   0.0440   0.0211  -0.0919  -0.0742   0.0913   0.0875
1867   0.1434   0.1110   0.2028   0.1069  -0.0513  -0.1358  -0.1270  -0.1649  -0.2349  -0.2402  -0.0607  -0.2385
1868  -0.1036  -0.0390   0.0218   0.0749  -0.0183   0.1052   0.1740  -0.0289  -0.0879  -0.3232  -0.2267  -0.0605
1869  -0.2756  -0.0750  -0.1002   0.0609   0.0797  -0.0038   0.0520  -0.0949  -0.1369  -0.2132  -0.2117  -0.2675
1870  -0.3186  -0.1550  -0.2172  -0.3491  -0.2293  -0.2278  -0.2660  -0.1269  -0.0789  -0.0472   0.0083  -0.0695
1871  -0.2936  -0.2800  -0.0422   0.0009  -0.0553  -0.0818  -0.0510  -0.1669  -0.3139  -0.3492  -0.1667  -0.0895
1872  -0.2246  -0.2130  -0.2552  -0.2491  -0.0193   0.0062   0.0630   0.1621   0.1921  -0.1522  -0.1937  -0.2245
1873  -0.0986  -0.1520  -0.1262  -0.1281  -0.2423  -0.2478  -0.1340  -0.1749  -0.0759  -0.1152  -0.0967  -0.0305
1874  -0.0986  -0.2670  -0.2832  -0.2611  -0.1753  -0.0438  -0.1160  -0.2309  -0.0389  -0.2342  -0.2127  -0.4575
1875  -0.3136  -0.0850  -0.1262  -0.1501  -0.0233  -0.0338  -0.2100  -0.1239  -0.0779  -0.1202  -0.2107  -0.2415
1876  -0.3496  -0.2240  -0.2502  -0.2361  -0.2563  -0.2058  -0.0950  -0.0369  -0.0649  -0.2432  -0.2307  -0.1795
1877  -0.1346   0.0120   0.0848  -0.0161   0.0747   0.1282   0.0940   0.1561   0.0541   0.0478   0.1563   0.1615
1878   0.1044   0.1930   0.1928   0.4859   0.3477   0.4342   0.2170   0.3831   0.3421   0.1378   0.2303   0.3155
1879   0.1894   0.2400  -0.1292  -0.1181   0.0707  -0.0138  -0.1160  -0.1859  -0.2259  -0.1172  -0.0707  -0.0335
1880  -0.0546  -0.1320  -0.0572  -0.1901  -0.3113  -0.1988  -0.0800  -0.0959   0.0541   0.0538   0.0113  -0.2335
1881   0.0404  -0.0090   0.0468   0.0719  -0.0543  -0.0638  -0.1860  -0.1499  -0.2199  -0.2422  -0.4387  -0.2405
1882  -0.2556  -0.2270  -0.1722  -0.2741  -0.2953  -0.1808  -0.1300  -0.1219  -0.1519  -0.1842  -0.1147  -0.1255
1883  -0.1686  -0.2890  -0.2882  -0.1141  -0.1273  -0.2058  -0.2310  -0.1689  -0.2799  -0.2772  -0.1317  -0.0035
1884  -0.0836  -0.2630  -0.2402  -0.1991  -0.2043  -0.0348  -0.2120  -0.1909  -0.3349  -0.3032  -0.4597  -0.2465
1885  -0.1776  -0.0700  -0.1592  -0.3811  -0.3163  -0.2978  -0.2010  -0.0629  -0.1439  -0.1212  -0.1027  -0.0935
1886   0.0254   0.0170   0.0628   0.0799   0.0877   0.0422   0.0740  -0.1089  -0.1729  -0.1682  -0.1237  -0.1435
1887  -0.2006  -0.1930  -0.1402  -0.1881  -0.0973   0.0622   0.1710   0.0361  -0.0129   0.0958   0.0793   0.0675
1888   0.1404   0.0740   0.1478   0.0099  -0.0033   0.1042   0.0290  -0.0129  -0.0119   0.1188   0.0313  -0.0305
1889   0.1474   0.1510   0.2148   0.1889   0.1707   0.0672  -0.0930  -0.0739  -0.0679  -0.0442   0.0693  -0.0695
1890  -0.0686  -0.0890  -0.1532  -0.2751  -0.2863  -0.2578  -0.4210  -0.4669  -0.4279  -0.2262  -0.3757  -0.3655
1891  -0.3726  -0.1860  -0.0362  -0.0071   0.0417   0.0122   0.0800  -0.0629  -0.1569  -0.1152  -0.3387  -0.0955
1892  -0.0306   0.0250  -0.0122  -0.1101  -0.2623  -0.2958  -0.4110  -0.2659  -0.3759  -0.3192  -0.3747  -0.2885
1893  -0.1926  -0.1490  -0.1482  -0.2661  -0.2663  -0.0208   0.0220   0.0051  -0.1079  -0.1942  -0.0717  -0.2645
1894  -0.2356  -0.2580  -0.2882  -0.3911  -0.4853  -0.4668  -0.3800  -0.3919  -0.3819  -0.4672  -0.4047  -0.3325
1895  -0.1996  -0.1720  -0.3622  -0.3961  -0.3313  -0.2468  -0.2230  -0.2459  -0.0789  -0.0562  -0.1977  -0.1515
1896  -0.1476  -0.0530  -0.1362  -0.0551   0.1347   0.0512  -0.0470  -0.0689   0.1621   0.0318  -0.0427  -0.0455
1897  -0.0016   0.0470   0.2078   0.1449   0.0407  -0.0388  -0.0510  -0.1309  -0.1039  -0.0502  -0.1007  -0.1125
1898  -0.0946  -0.0260   0.0138  -0.0391  -0.0293   0.0742   0.0710  -0.0069  -0.0429  -0.1512  -0.2137  -0.0975
1899  -0.1416  -0.1320  -0.0992  -0.0121   0.0857   0.0552  -0.0310   0.1261  -0.0159  -0.0292   0.1183   0.2045
1900   0.1354   0.1260  -0.0262   0.0709  -0.1153  -0.1278  -0.0460  -0.1399  -0.0919  -0.0002  -0.0327   0.0465
1901  -0.0206   0.1130   0.0748   0.0609  -0.0283   0.0932   0.0490   0.0451  -0.1359  -0.2212  -0.1537  -0.1525
1902  -0.1836  -0.1040  -0.1052  -0.2371  -0.1983  -0.3748  -0.4240  -0.3059  -0.1369  -0.0952  -0.1887  -0.1715
1903  -0.1066  -0.0160  -0.1382  -0.1551  -0.2493  -0.2968  -0.2950  -0.5769  -0.5909  -0.4762  -0.3097  -0.3765
1904  -0.4146  -0.4410  -0.4572  -0.5071  -0.5013  -0.5488  -0.4670  -0.4789  -0.6109  -0.4782  -0.2677  -0.2365
1905  -0.2866  -0.2480  -0.4352  -0.2551  -0.1653  -0.2898  -0.1820  -0.2719  -0.4869  -0.3582  -0.3357  -0.3255
1906  -0.1316  -0.0960  -0.1272  -0.1251  -0.2603  -0.1078  -0.1330  -0.1919  -0.2489  -0.2452  -0.0827  -0.3035
1907  -0.2426  -0.4110  -0.3272  -0.2401  -0.2473  -0.3678  -0.4050  -0.4399  -0.3049  -0.3222  -0.2907  -0.2665
1908  -0.2866  -0.2920  -0.3112  -0.2851  -0.2593  -0.1758  -0.0980  -0.1149  -0.2129  -0.2212  -0.2157  -0.1955
1909  -0.1576  -0.2000  -0.1692  -0.2231  -0.1003  -0.2378  -0.2870  -0.2039  -0.2369  -0.2492  -0.3497  -0.3055
1910  -0.3576  -0.3060  -0.3262  -0.3821  -0.4323  -0.4678  -0.4060  -0.3779  -0.2259  -0.2862  -0.1337  -0.3115
1911  -0.3006  -0.3050  -0.3712  -0.3891  -0.4323  -0.3438  -0.2830  -0.1809  -0.2359  -0.2062  -0.2837  -0.2395
1912  -0.2826  -0.3100  -0.2792  -0.2351  -0.2013  -0.2528  -0.3690  -0.5079  -0.3599  -0.3412  -0.2737  -0.2995
