DMI Normalized to period: 1870-2024 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1870  -0.2695  -0.1636   0.3333   0.1366  -0.2780  -0.3550  -0.3545  -0.2376  -0.3648  -0.2790  -0.1545  -0.1628
1871  -0.1045   0.0024  -0.0557   0.0366   0.0870   0.0300  -0.1485  -0.0906   0.0272  -0.1700   0.0295  -0.0158
1872   0.1315   0.2134   0.0803   0.1006   0.0540   0.1090   0.0105  -0.0406   0.0302   0.0870   0.1405   0.1012
1873   0.2305  -0.1466  -0.2477  -0.0874  -0.2090  -0.3940  -0.3935  -0.5156  -0.3308  -0.1220  -0.1065  -0.0908
1874  -0.2125  -0.2156  -0.4297  -0.5694  -0.2390  -0.2720  -0.0425  -0.0606  -0.4508  -0.8010  -0.3565  -0.5778
1875  -0.2815  -0.0136   0.0583   0.2136   0.0680   0.0990  -0.2155   0.0364  -0.0338  -0.3010  -0.6445  -0.2478
1876  -0.1925  -0.3316  -0.2457  -0.2914  -0.2690  -0.2310  -0.0955   0.0174   0.2842   0.1440  -0.1115  -0.0848
1877  -0.1425   0.5394   0.2863  -0.0954  -0.4820  -0.2970  -0.2925   0.4984   0.8832   0.7740   0.8045   0.3662
1878  -0.0925  -0.2256   0.1403   0.0996  -0.1530  -0.1180  -0.0875   0.0124   0.1552  -0.3170  -0.2145  -0.2578
1879  -0.2605  -0.2446  -0.2967  -0.3564  -0.3110  -0.0810  -0.0785  -0.3556  -0.2278  -0.4320  -0.5145  -0.3938
1880  -0.2945  -0.0896  -0.1707   0.1866   0.0620  -0.1060  -0.2325  -0.3016  -0.2108  -0.3980  -0.3065  -0.1358
1881  -0.0055  -0.3346  -0.1927  -0.2654   0.0620   0.3730   0.1795   0.2074   0.0642  -0.1050  -0.1295  -0.2838
1882  -0.3885  -0.5076   0.0073   0.0506   0.1340   0.1220   0.0625  -0.2126  -0.2888  -0.1530  -0.1305  -0.2188
1883  -0.5365  -0.0346  -0.1467   0.0586   0.0120   0.1090   0.0075   0.1604  -0.1388   0.0090  -0.1135  -0.1128
1884  -0.2395  -0.0106  -0.1557   0.2596   0.4510  -0.0100   0.2925  -0.0216  -0.1078  -0.0110  -0.2275  -0.2048
1885  -0.2945   0.0824  -0.0127  -0.0134   0.0030   0.0630   0.0775   0.0544   0.0122   0.1390  -0.2285  -0.1728
1886  -0.4455  -0.5936  -0.2987  -0.0974  -0.2430  -0.1540  -0.4295  -0.6336  -0.6248  -0.5400  -0.4375  -0.3478
1887  -0.2905  -0.2166  -0.1257  -0.0734  -0.0890   0.0220   0.0635   0.2754   0.0782  -0.1600  -0.0425  -0.0828
1888  -0.1715  -0.4306  -0.5767  -0.6774  -0.3020  -0.2310  -0.1535  -0.0856  -0.1628  -0.0790  -0.3065  -0.2398
1889  -0.4945  -0.0736  -0.4967  -0.6334  -0.4620  -0.3690  -0.2205  -0.3796  -0.5488  -0.7820  -0.6235  -0.1978
1890   0.0635   0.1064  -0.0417  -0.0174  -0.1340  -0.5760  -0.6215  -0.4216  -0.7278  -0.8100  -0.6595  -0.3708
1891  -0.1505  -0.4006  -0.4557  -0.1014  -0.1230   0.0930  -0.0065   0.2784   0.2952   0.2400   0.1165   0.2802
1892  -0.0645  -0.1506  -0.0517  -0.1334  -0.0840  -0.2930  -0.3635  -0.7566  -0.8178  -0.4580  -0.2075  -0.2838
1893  -0.2775  -0.2966  -0.2567  -0.3984  -0.3210  -0.3340  -0.2535  -0.4726  -0.3288  -0.4390  -0.2715  -0.1518
1894   0.0915  -0.0886  -0.1067  -0.1314  -0.0110   0.0980   0.1165   0.4094   0.0342   0.0310  -0.0295  -0.0388
1895  -0.0145   0.1154   0.0483   0.0076   0.0450   0.0880  -0.1155   0.2134   0.0572   0.2020  -0.2345  -0.1598
1896  -0.2175  -0.4146  -0.4057  -0.1084  -0.0150   0.0370   0.1955   0.1524   0.3512   0.6590   0.2865   0.3092
1897  -0.0155  -0.1416  -0.1277   0.0076   0.0180  -0.0590   0.0505   0.0634  -0.1968  -0.7680  -0.6575  -0.5318
1898  -0.3805  -0.2726  -0.1747  -0.1934  -0.2920  -0.2390  -0.5275  -0.5346  -0.5258  -0.5590  -0.4145  -0.2608
1899  -0.2505  -0.1206  -0.0197   0.0556   0.1110  -0.1820  -0.2775  -0.1676  -0.5708  -0.0710  -0.1915  -0.5308
1900  -0.3005  -0.1206  -0.3077  -0.1344   0.0430   0.1510  -0.0235  -0.2056  -0.1748  -0.0720   0.0505  -0.4208
1901  -0.3715  -0.6956  -0.5637  -0.3294  -0.3510  -0.4250  -0.4175  -0.5406  -0.6658  -0.4170  -0.4945  -0.4688
1902  -0.3045  -0.2806  -0.0947   0.2356   0.1600   0.1030   0.2255   0.6174   0.5722   0.1190   0.1995  -0.0538
1903  -0.3105  -0.3986  -0.2077  -0.4434  -0.0650  -0.1420  -0.3185  -0.1676  -0.3268  -0.6790  -0.3815  -0.2288
1904  -0.0505  -0.0616  -0.0627   0.1556  -0.0560  -0.0930   0.0085  -0.1286  -0.3148   0.1200  -0.1065  -0.4318
1905  -0.4325  -0.1996  -0.3157  -0.2834  -0.0030  -0.2540   0.0205   0.0644   0.3872  -0.1050  -0.1895  -0.3478
1906  -0.4365  -0.3126  -0.3537  -0.6034  -0.2230  -0.1970  -0.6905  -0.8006  -1.2708  -0.6550  -0.5475  -0.1368
1907  -0.2015  -0.0126   0.1053  -0.1824  -0.1060  -0.1520  -0.3065  -0.6486  -0.1628  -0.0460  -0.1415  -0.0088
1908  -0.2235  -0.1776  -0.0947  -0.6044  -0.0270   0.2340  -0.3025  -0.1756   0.0452  -0.1110  -0.2615  -0.3698
1909  -0.5635  -0.3286  -0.4027  -0.2594  -0.6000  -0.7240  -0.7365  -0.7016  -0.5558  -0.3720  -0.1775  -0.0438
1910  -0.3825   0.0034  -0.3327  -0.2094  -0.3290  -0.2670  -0.7405  -0.5366  -0.6588  -0.6960  -0.4355  -0.0838
1911  -0.0255  -0.3136  -0.5787  -0.5594  -0.2340  -0.6210  -0.4785  -0.3016  -0.1808  -0.3120   0.0175   0.0592
1912  -0.0835  -0.1296   0.1043  -0.0724   0.1410   0.1900  -0.3765  -0.4826  -0.3618  -0.2520  -0.4875  -0.2898
1913  -0.0685   0.0364   0.0213  -0.0814   0.0150   0.2940  -0.0425  -0.1976  -0.1048   0.2220   0.0065  -0.0358
1914  -0.1195   0.0004  -0.1967  -0.0534   0.0960   0.7470   0.3975   0.2604   0.2972   0.3000  -0.3115  -0.4998
1915  -0.4615  -0.5156  -0.2467  -0.0954  -0.2930  -0.0090  -0.4085  -0.1556  -0.0138   0.0410   0.0195   0.1862
