NINA34 Normalized to period: 1870-2024 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1870  -0.9441  -1.1434  -0.7144  -0.7072  -1.1173  -0.9706  -0.9054  -0.7801  -0.4099  -0.8096  -0.6929  -0.7580
1871  -0.1941  -0.5334  -0.3144  -0.3972  -0.5473  -0.4206  -0.4754  -0.2301  -0.1199  -0.2296  -0.2029  -0.5380
1872  -0.6641  -0.5734  -0.3844  -0.6672  -0.4573  -0.4206  -0.1854  -0.7501  -0.8999  -0.8396  -0.6929  -0.8380
1873  -0.7341  -0.9634  -1.1944  -0.5672  -0.3773  -0.3706  -0.4454  -0.2901  -0.2199  -0.6696  -0.6729  -0.6580
1874  -0.8841  -1.0134  -1.2944  -0.8372  -0.7073  -0.6206  -0.8754  -0.9501  -1.0099  -1.1396  -1.2229  -1.0980
1875  -0.6541  -0.3234  -0.4844  -0.7672  -0.9373  -0.6606  -0.7254  -0.7101  -0.7899  -0.7296  -0.5429  -0.7180
1876  -0.8941  -1.1534  -1.0144  -1.0772  -0.9273  -0.3306  -0.2154  -0.0601   0.1001   0.2204   0.2471   0.2620
1877   0.4059   0.5066   0.6356   0.6028   0.9127   1.0894   1.5446   1.6499   1.8701   2.0504   2.1871   2.5220
1878   2.4659   2.4766   1.4256   1.0228   0.9827   1.0294   0.3846  -0.0101  -0.1999  -0.4296  -0.6029  -0.7180
1879  -0.4941  -0.1334  -0.1244  -0.2672  -0.6773  -0.5606  -0.6354  -0.5901  -0.6999  -0.8296  -1.0329  -0.9880
1880  -0.9441  -0.6834  -0.5144  -0.4672  -0.5573  -0.5006  -0.3954  -0.1401   0.0901   0.2704   0.3471   0.2220
1881   0.3459   0.2766   0.4356   0.5128   0.3227   0.3394  -0.1354  -0.0601  -0.2099  -0.3196  -0.4929  -0.3280
1882  -0.3941  -0.5034  -0.4144   0.2028   0.1727  -0.2906  -0.4454  -0.2201  -0.3899  -0.5496  -0.8129  -0.7180
